Time (s) \ Spawnpoint,0,1,2,3,4,5,6,7,8,9
1,small ogre,,,small ogre,,,,,,
2,,,,,,,,,,
3,,bat,bat,,bat,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,ghost,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,crab,spider,spider,spider
10,,,,,,,,,,
11,bat,,,,,,,,,
12,,,,,bat,,,,,
13,,,small ogre,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,small ogre,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,bat,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,spider,,
28,,,,,,,,,,
29,,,,,,,,,spider,
30,crab,bat,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,spider,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,spider,,,,,,,,,
37,,,,,,,,,,
38,,small ogre,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,small ogre,,,small ogre,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,ghost,ghost,,,,
47,,,,,,,,,,
48,,,bat,,,,,small ogre,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,crab
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,bat,spider,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,spider,,,,,
64,,spider,,,,,,,,
65,bat,,spider,,,,,,,
66,,,,,,,,,,
67,,,,small ogre,,,,,,
68,,,,,,ghost,,,,
69,,ghost,,,,,,,,
70,,,,spider,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,bat,,,spider,,,
74,ghost,,,,,,,,,
75,,,,,,,,,,
76,,,,,,spider,,,,
